repo,relpath,reason,matched_patterns,size_bytes,sha256,source
gnina,docs/tutorial/layers/concat.md,content,cuda,1520,c7a53c997c568d61ba4c6ca8edc12ac129ecd93d46b15c7350b5ebfee9cf1c2f,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/concat.md
gnina,docs/tutorial/layers/contrastiveloss.md,content,cuda,969,cc3513cf510c3e4cd3d8b125889dc21e6b988d145e556a30ba6f545b6203752d,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/contrastiveloss.md
gnina,docs/tutorial/layers/convolution.md,content,cuda,3128,1b818e519f224fddb31f01c51111ea8d59495314b62a865e42210bd6d78dffb1,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/convolution.md
gnina,docs/tutorial/layers/crop.md,content,cuda,817,714cf715316b3e4082557630b46c2ce1ab0aad7ba37688d9aa70d33f113cf5f3,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/crop.md
gnina,docs/tutorial/layers/deconvolution.md,content,cuda,938,b442a522c390721f204e8254f64078c140ebcfabd91d2db3c1c29c42230eb6c5,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/deconvolution.md
gnina,docs/tutorial/layers/dropout.md,content,cuda,856,d754784d0cd6f3e67a5ae0f10d875d8b19718289f15b46aa426253646a4d3667,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/dropout.md
gnina,docs/tutorial/layers/eltwise.md,content,cuda,856,0ec7b14f68376af646c4564d2a11d006fcbea9f3ca275a3c4504b759882bccdd,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/eltwise.md
gnina,docs/tutorial/layers/elu.md,content,cuda,1024,2129f20650d9df86978b290d2a2b52bd1cb753d1b66b0e2c52f0b0b3c1dad093,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/elu.md
gnina,docs/tutorial/layers/embed.md,content,cuda,829,072054289f3e244c836ef93d81061dc4dec2e24c4d9bb0f825d3cbef088ca51b,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/embed.md
gnina,docs/tutorial/layers/euclideanloss.md,content,cuda,865,371d93a01f61711d4aa6ebf783c735ca3630f57fd6e2ccc10765268cf85e66b6,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/euclideanloss.md
