repo	relpath	line	matched_patterns	text
PocketXMol	docs/sample_provided_data.md	52	cuda	--device cuda:0
PocketXMol	docs/sample_provided_data.md	62	cuda	| `--device` | No | `cuda:0` | Device (e.g., `cuda:0`, `cpu`) |
PocketXMol	docs/sample_provided_data.md	87	cuda	--device cuda:0
PocketXMol	docs/sample_provided_data.md	183	gpu_memory	| `batch_size` | `int` | Number of molecules processed in parallel. Can be overridden with `--batch_size` CLI flag. Larger → faster but more GPU memory |
PocketXMol	docs/sample_test_sets.md	8	datacenter_gpu	> - **Hardware:** Verified on an 80G A100 GPU. Batch sizes in configs are optimized for this.
PocketXMol	docs/sample_test_sets.md	10	datacenter_gpu	> - **Runtime:** 1 ~ 6 hours per test set on a single A100.
PocketXMol	docs/sample_test_sets.md	22	cuda	--device cuda:0
PocketXMol	docs/sample_test_sets.md	42	cuda	--device cuda:0
PocketXMol	docs/sample_test_sets.md	62	cuda	--device cuda:0
PocketXMol	docs/sample_test_sets.md	80	cuda	--device cuda:0
PocketXMol	docs/sample_test_sets.md	90	cuda	--device cuda:0
PocketXMol	docs/sample_test_sets.md	105	cuda	--device cuda:0
PocketXMol	docs/sample_test_sets.md	120	cuda	--device cuda:0
PocketXMol	docs/sample_test_sets.md	131	cuda	--device cuda:0
PocketXMol	docs/sample_test_sets.md	144	cuda	--device cuda:0
PocketXMol	docs/sample_test_sets.md	154	cuda	--device cuda:0
PocketXMol	docs/sample_test_sets.md	162	cuda	--device cuda:0
PocketXMol	docs/setup.md	9	cuda	To set up the environment on Linux (with CUDA 11.7), use [Anaconda](https://docs.anaconda.com/free/anaconda/install/index.html) to create a new environment `pxm` from `environment.yml`:
PocketXMol	docs/setup.md	16	cuda	> **Note:** If you have a different CUDA version, modify the pytorch-related package versions in `environment.yml` before creating the environment.
PocketXMol	docs/setup.md	18	cuda	### Option A2: Conda for CUDA 12.8
PocketXMol	docs/setup.md	20	cuda	For systems with **CUDA 12.8**, use the provided base environment file `environment_cu128_base.yml`:
PocketXMol	docs/setup.md	27	cuda	Then install the CUDA 12.8 PyTorch + PyG stack (copy/paste as a whole):
PocketXMol	docs/setup.md	38	cuda	If you need custom versions (e.g., specific CUDA/PyTorch/PyG pins), install packages step by step.
PocketXMol	docs/setup.md	40	cuda	For example, for CUDA 12.6 (Python 3.10):
PocketXMol	docs/setup.md	42	cuda	# PyTorch for CUDA 12.6
PocketXMol	docs/setup.md	49	cuda	# PyG extensions (must match torch version + CUDA tag)
PocketXMol	docs/train.md	22	gpu_memory	> - To adjust for GPU memory, modify `batch_size` in the config file.
ProteinMPNN	README.md	39	gpu_memory,consumer_gpu	"argparser.add_argument(""--batch_size"", type=int, default=1, help=""Batch size; can set higher for titan, quadro GPUs, reduce this if running out of GPU memory"")"
Protenix	docs/docker_installation.md	3	gpu_requirement	1. Install Docker (with GPU Support)
Protenix	docs/docker_installation.md	5	gpu_requirement	Ensure that Docker is installed and configured with GPU support. Follow these steps:
Protenix	docs/docker_installation.md	7	nvidia,gpu_requirement	*   Install the [NVIDIA Container Toolkit](https://docs.nvidia.com/datacenter/cloud-native/container-toolkit/install-guide.html) to enable GPU support.
Protenix	docs/docker_installation.md	10	nvidia,cuda	docker run --rm --gpus all nvidia/cuda:12.6.3-base-ubuntu22.04 nvidia-smi
Protenix	docs/kernels.md	3	cuda	- **Custom CUDA layernorm kernels** modified from [FastFold](https://github.com/hpcaitech/FastFold) and [Oneflow](https://github.com/Oneflow-Inc/oneflow) accelerate about 30%-50% during different training stages.
Protenix	docs/kernels.md	21	nvidia	Optimized implementation using NVIDIA's [cuEquivariance](https://github.com/NVIDIA/cuEquivariance) library.
Protenix	docs/kernels.md	25	nvidia	DS4Sci_EvoformerAttention is implemented based on [CUTLASS](https://github.com/NVIDIA/cutlass). If you use this feature, you need to clone the CUTLASS repository and specify the path to it in the environment variable `CUTLASS_PATH`. The [Dockerfile](Dockerfile) already includes this setting:
Protenix	docs/kernels.md	27	nvidia	RUN git clone -b v3.5.1 https://github.com/NVIDIA/cutlass.git  /opt/cutlass
Protenix	docs/kernels.md	33	nvidia	git clone -b v3.5.1 https://github.com/NVIDIA/cutlass.git  /path/to/cutlass
Protenix	docs/kernels.md	47	nvidia	Optimized implementation using NVIDIA's [cuEquivariance](https://github.com/NVIDIA/cuEquivariance) library.
Protenix	docs/training_inference_instructions.md	131	nvidia,cuda	> **Performance Tip**: By default, specialized CUDA kernels are enabled. For significant speedups on NVIDIA GPUs, follow the [**Kernels Setup Guide**](./kernels.md).
Protenix	docs/training_inference_instructions.md	137	disk	To download the [wwPDB dataset](https://www.wwpdb.org/) and preprocessed training data, you need at least 1.5T disk space.
Protenix	docs/training_inference_instructions.md	252	datacenter_gpu	| Throughput (A100-80G, s/step) | ~12 | ~30 | ~44 | ~13 |
Protenix	docs/training_inference_instructions.md	253	gpu_memory	| Peak GPU Memory (GB) | ~34 | ~35 | ~48 | ~24 |
Protenix	docs/training_inference_instructions.md	255	datacenter_gpu,nvidia	We recommend training on high-performance GPUs such as NVIDIA A100 (80GB), H20, or H100. When using BF16 mixed-precision, the initial training stage can also be conducted on NVIDIA A800 (40GB). For GPUs with smaller memory capacities (e.g., NVIDIA A30), it is necessary to adjust the model configuration—such as reducing `model.pairformer.nblocks` or `diffusion_batch_size`—to ensure compatibility.
Protenix	docs/training_inference_instructions.md	261	gpu_memory	The table below provides benchmark data for GPU memory utilization and inference latency across various input sizes.
Protenix	docs/training_inference_instructions.md	275	memory_footprint	Adjust inference configurations based on the number of tokens to manage memory usage and prevent OOM.
REINVENT4	README.md	38	nvidia	CPU automatically.  REINVENT [supports](https://pytorch.org/get-started/locally/), as of this writing, NVIDIA GPUs,
REINVENT4	README.md	40	gpu_memory	of about 8 GiB for both CPU main memory and GPU memory is sufficient.
REINVENT4	README.md	57	nvidia,cuda	"1. Change directory to the repository to install.  You will need to set the right processor type, see [PyTorch versions](https://pytorch.org/get-started/locally/). Make sure that the toolkit version (e.g. CUDA) is compatible with the hardware driver (e.g. NVIDIA) of your OS.  Linux supports CUDA (e.g. ""cu126""), AMD ROCm (e.g. ""rocm6.4""), Intel XPU (""xpu"") and CPU. Windows supports CUDA, XPU and CPU.  Newer Apple chips e.g. M5 are supported by PyTorch's MPS backend (use ""mac"" as processor type). Optionally, you can select dependencies ""openeye"" (for ROCS; you need to obtain your own license), ""chemprop1"" for Chemprop v1, ""isim"" for similarity tracking in TensorBoard or ""none"" to skip all.  The default is installation of ""all"" dependencies.  See the help text from the install script for details."
REINVENT4	README.md	61	cuda	# install all packages including chemprop2 for e.g. CUDA 12.6
REINVENT4	README.md	62	nvidia,cuda	# make sure the CUDA version is compatible with the NVIDIA driver
REINVENT4	README.md	82	cuda	1. Change directory to the repository and run `uv sync`.  The PyTorch index for CUDA 12.6 is pre-configured in `pyproject.toml`.
REINVENT4	README.md	130	cuda	| `-d`, `--device` | Torch device: cuda, cpu. Overwrites config file setting | — |
REINVENT4	README.md	216	cuda	$ pytest tests --json /path/to/config.json --device cuda
RFantibody	README.md	45	gpu_requirement	### GPU Acceleration
RFantibody	README.md	47	nvidia,cuda	RFantibody requires an NVIDIA GPU with CUDA support to run. You can check whether you have a compatible NVIDIA GPU available by running:
RFantibody	README.md	49	nvidia	nvidia-smi
RFantibody	README.md	55	nvidia,cuda	- **GPU**: NVIDIA GPU with CUDA 11.8+ support
RFantibody	README.md	98	cuda	- Install all dependencies including PyTorch with CUDA 11.8 support
RFantibody	README.md	99	cuda	- Install [Deep Graph Library](https://www.dgl.ai) from CUDA-enabled wheels
RFantibody	README.md	197	gpu_requirement	Always use the `--nv` flag (for GPU support) and `--writable-tmpfs` flag (for temporary file writes):
RFdiffusion	README.md	97	nvidia	You also need to install [NVIDIA's implementation of SE(3)-Transformers](https://developer.nvidia.com/blog/accelerating-se3-transformers-training-using-an-nvidia-open-source-model-implementation/) Here is how to install the NVIDIA SE(3)-Transformer code:
RFdiffusion	README.md	114	cuda	Note: Due to the variation in GPU types and drivers that users have access to, we are not able to make one environment that will run on all setups. As such, we are only providing a yml file with support for CUDA 11.1 and leaving it to each user to customize it to work on their setups. This customization will involve changing the cudatoolkit and (possibly) the PyTorch version specified in the yml file.
RFdiffusion	README.md	193	datacenter_gpu	- Anything prefixed by a letter indicates that this is a motif, with the letter corresponding to the chain letter in the input pdb files. E.g. A10-25 pertains to residues ('A',10),('A',11)...('A',25) in the corresponding input pdb
RFdiffusion	README.md	197	datacenter_gpu	"In more detail, if we want to scaffold a motif, the input is just like RFjoint Inpainting, except needing to navigate the hydra config input. If we want to scaffold residues 10-25 on chain A a pdb, this would be done with `'contigmap.contigs=[5-15/A10-25/30-40]'`. This asks RFdiffusion to build 5-15 residues (randomly sampled at each inference cycle) N-terminally of A10-25 from the input pdb, followed by 30-40 residues (again, randomly sampled) to its C-terminus. If we wanted to ensure the length was always e.g. 55 residues, this can be specified with `contigmap.length=55-55`. You need to obviously also provide a path to your pdb file: `inference.input_pdb=path/to/file.pdb`. It doesn't matter if your input pdb has residues you *don't* want to scaffold - the contig map defines which residues in the pdb are actually used as the ""motif"". In other words, even if your pdb files has a B chain, and other residues on the A chain, *only* A10-25 will be provided to RFdiffusion."
RFdiffusion	README.md	202	datacenter_gpu	'contigmap.contigs=[5-15/A10-25/30-40/0 B1-100]'
RFdiffusion	README.md	217	datacenter_gpu	'contigmap.inpaint_seq=[A1/A30-40]'
RFdiffusion	README.md	219	datacenter_gpu	Here, we're masking the residue identity of residue A1, and all residues between A30 and A40 (inclusive).
RFdiffusion	README.md	274	datacenter_gpu	"We solve this issue by providing the model with what we call ""hotspot residues"". The complex models we refer to earlier in this README file have all been trained with hotspot residues, in this training regime, during each example, the model is told (some of) the residues on the target protein which contact the target (i.e., resides that are part of the interface). The model readily learns that it should be making an interface which involved these hotspot residues. At inference time then, we can provide our own hotspot residues to define a region which the binder must contact. These are specified like this: `'ppi.hotspot_res=[A30,A33,A34]'`, where `A` is the chain ID in the input pdb file of the hotspot residue and the number is the residue index in the input pdb file of the hotspot residue."
RFdiffusion2	README.md	94	consumer_gpu	The demo generates 150 residue proteins with many of the residues atomized, so it can take upwards of 30 minutes to run all cases.  Each case may take up to 10 minutes on an RTX2060.
TurboHopp	README.md	31	cuda	- CUDA 11.8
alphafold	README.md	41	disk	operating systems. Full installation requires up to 3 TB of disk space to keep
alphafold	README.md	42	nvidia	genetic databases (SSD storage is recommended) and a modern NVIDIA GPU (GPUs
alphafold	README.md	50	nvidia	[NVIDIA Container Toolkit](https://docs.nvidia.com/datacenter/cloud-native/container-toolkit/install-guide.html)
alphafold	README.md	51	gpu_requirement	for GPU support.
alphafold	README.md	88	nvidia,cuda	docker run --rm --gpus all nvidia/cuda:11.0-base nvidia-smi
alphafold	README.md	93	nvidia	[NVIDIA Container Toolkit](https://docs.nvidia.com/datacenter/cloud-native/container-toolkit/install-guide.html)
alphafold	README.md	95	nvidia	[NVIDIA Docker issue](https://github.com/NVIDIA/nvidia-docker/issues/1447#issuecomment-801479573).
alphafold	README.md	112	nvidia,cuda	W: GPG error: https://developer.download.nvidia.com/compute/cuda/repos/ubuntu1804/x86_64 InRelease: The following signatures couldn't be verified because the public key is not available: NO_PUBKEY A4B469963BF863CC
alphafold	README.md	113	nvidia,cuda	E: The repository 'https://developer.download.nvidia.com/compute/cuda/repos/ubuntu1804/x86_64 InRelease' is not signed.
alphafold	README.md	313	nvidia	was tested on Google Cloud with a machine using the `nvidia-gpu-cloud-image`
alphafold	README.md	315	datacenter_gpu,disk	3 TB disk, and an A100 GPU. For your first run, please follow the instructions
