package,n_services,n_versions,conflicting_pairs,versions
libedit,5,3,7,3.1.20191231=he28a2e2_2:3|3.1.20221030:1|3.1.20230828:1
libxcb,5,3,7,1.15=h0b41bf4_0:3|1.15:1|1.17.0:1
aiohttp,4,4,6,3.9.5=py310h2372a71_0:1|3.13.2:1|3.11.13:1|3.9.3:1
aiosignal,4,4,6,1.3.1=pyhd8ed1ab_0:1|1.4.0:1|1.3.2:1|1.3.1:1
cffi,4,4,6,1.15.1:1|1.16.0=py310h2fee648_0:1|2.0.0:1|1.16.0:1
cudatoolkit,4,4,6,11.7:1|11.7.1=h4bc3d14_13:1|*:1|11.8.0=h4ba93d1_13:1
freesasa,4,4,6,2.2.0.post3:1|>=2.2.1:1|>=2.0.3:1|2.2.1:1
frozenlist,4,4,6,1.4.1=py310h2372a71_0:1|1.8.0:1|1.5.0:1|1.4.1:1
h5py,4,4,6,3.7.0:1|3.8.0:1|*:1|3.11.0:1
importlib-metadata,4,4,6,"==7.1.0=pyha770c72_0,==7.1.0=hd8ed1ab_0:1|8.5.0=pyha770c72_0:1|8.0.0:1|7.1.0:1"
libxml2,4,4,6,2.9.14:1|2.12.5=h232c23b_0:1|2.12.7=hc051c1a_1:1|2.13.8:1
matplotlib-base,4,4,6,3.7.3=py38h58ed7fa_0:1|3.7.1:1|3.8.2=py310h62c0568_0:1|3.9.1=py310h0b1de36_0:1
multidict,4,4,6,6.0.5=py310h2372a71_0:1|6.7.0:1|6.1.0:1|6.0.5:1
openmm,4,4,6,8.2.0:1|8.1.1=py310h358ce72_1:1|0.2:1|8.1.1=py310h43b6314_1:1
pyg,4,4,6,2.3.0:1|2.2.0:1|2.5.2=py310_torch_2.0.0_cu117:1|2.3:1
pytorch-scatter,4,4,6,2.1.1:1|2.1.0:1|2.1.2=py310_torch_2.2.0_cu121:1|*:1
sphinx,4,4,6,7.2.6:1|7.1.2:1|>=7:1|>=7.4:1
tensorboard,4,4,6,"*:1|2.20.0:1|2.19.0:1|>=2,<3:1"
yarl,4,4,6,1.9.4=py310h2372a71_0:1|1.22.0:1|1.18.3:1|1.9.4:1
gitdb,5,2,6,4.0.11:3|4.0.12:2
nest-asyncio,5,2,6,1.6.0:3|1.6.0=pyhd8ed1ab_0:2
smmap,5,2,6,5.0.1:3|5.0.2:2
async-timeout,4,3,5,5.0.1:2|4.0.3=pyhd8ed1ab_0:1|4.0.3:1
cairo,4,3,5,1.18.0=h3faef2a_0:2|1.16.0=ha00ac49_1009:1|1.18.4:1
font-ttf-ubuntu,4,3,5,0.83=h77eed37_2:2|0.83=h77eed37_1:1|0.83:1
httpx,4,3,5,0.28.1:2|*:1|0.27.0:1
icecream,4,3,5,2.1.4:2|*:1|2.1.3:1
jupyter,4,3,5,*:2|1.0.0:1|1.1.1:1
jupyterlab-widgets,4,3,5,3.0.13:2|3.0.11:1|3.0.10:1
lcms2,4,3,5,2.12=hddcbb42_0:2|2.16=hb7c19ff_0:1|2.12:1
lerc,4,3,5,3.0=h9c3ff4c_0:2|4.0.0=h27087fc_0:1|3.0:1
libdeflate,4,3,5,1.10=h7f98852_0:2|1.20=hd590300_0:1|1.17:1
libexpat,4,3,5,2.6.2=h59595ed_0:2|2.5.0=hcb278e6_1:1|2.7.0:1
libglib,4,3,5,2.80.2=hf974151_0:2|2.78.3=h783c2da_0:1|2.84.0:1
libjpeg-turbo,4,3,5,2.0.0=h9bf148f_0:2|3.0.0=hd590300_1:1|3.0.3:1
libtiff,4,3,5,4.3.0=h0fcbabc_4:2|4.6.0=h1dd3fc0_3:1|4.5.0:1
libwebp-base,4,3,5,1.4.0=hd590300_0:2|1.2.4:1|1.3.2=hd590300_0:1
modelcif,4,3,5,0.7:2|1.2:1|1.0:1
nvidia-ml-py,4,3,5,12.570.86:2|>=12.535.133:1|12.555.43:1
pcre2,4,3,5,10.43=hcad00b1_0:2|10.42=hcad00b1_0:1|10.44:1
pdbfixer,4,3,5,1.9=pyh1a96a4e_0:2|1.12.0:1|1.8.1:1
pycparser,4,3,5,2.22:2|2.21:1|2.22=pyhd8ed1ab_0:1
ruff,4,3,5,*:2|>=0.14:1|0.6.2:1
sentry-sdk,4,3,5,2.22.0:2|1.40.0:1|1.44.0:1
triton,4,3,5,2.3.1:2|3.5.0:1|2.2.0:1
widgetsnbextension,4,3,5,4.0.13:2|4.0.11:1|4.0.10:1
xorg-libx11,4,3,5,1.8.9=h8ee46fc_0:2|1.8.7=h8ee46fc_0:1|1.8.12:1
omegaconf,6,2,5,2.3.0:5|>=2.3.0:1
absl-py,5,2,4,2.1.0:4|1.0.0:1
colorama,4,2,4,0.4.6=pyhd8ed1ab_0:2|0.4.6:2
pdbeccdutils,4,2,4,*:2|0.8.5:2
pysocks,4,2,4,1.7.1:2|1.7.1=pyha2e5f31_6:2
setproctitle,4,2,4,1.3.3:2|1.3.5:2
tomli,4,2,4,2.0.1:2|2.2.1:2
babel,3,3,3,2.14.0:1|2.15.0:1|2.17.0:1
cuda-cudart,3,3,3,11.8.89:1|12.1.105=0:1|11.7.99=0:1
cuda-cupti,3,3,3,11.8.87:1|12.1.105=0:1|11.7.101=0:1
cuda-libraries,3,3,3,11.8.0:1|12.1.0=0:1|11.7.1=0:1
cuda-nvrtc,3,3,3,11.8.89:1|12.1.105=0:1|11.7.99=0:1
cuda-nvtx,3,3,3,11.8.86:1|12.1.105=0:1|11.7.91=0:1
cuda-runtime,3,3,3,11.8.0:1|12.1.0=0:1|11.7.1=0:1
cython,3,3,3,*:1|3.0.0:1|3.0.10:1
deepspeed,3,3,3,0.14.4:1|0.17.4:1|0.16.4:1
dgl,3,3,3,2.0.0.cu121=py310_0:1|*:1|2.4.0:1
fairscale,3,3,3,0.4.13:1|0.4.4:1|>=0.4.13:1
gettext,3,3,3,0.21.1=h27087fc_0:1|0.22.5=h59595ed_2:1|0.24.1:1
gmp,3,3,3,6.2.1:1|6.3.0=h59595ed_0:1|6.3.0=hac33072_2:1
gmpy2,3,3,3,2.1.2:1|2.1.2=py310h3ec546c_1:1|2.1.5=py310hc7909c9_1:1
importlib-resources,3,3,3,6.4.0=pyhd8ed1ab_0:1|5.2.0:1|6.4.0:1
jupyterlab,3,3,3,4.2.4:1|4.4.9:1|*:1
libcublas,3,3,3,11.11.3.6:1|12.1.0.26=0:1|11.10.3.66=0:1
libcufft,3,3,3,10.9.0.58:1|11.0.2.4=0:1|10.7.2.124=h4fbf590_0:1
libcufile,3,3,3,1.6.1.9:1|1.8.1.2=0:1|1.9.1.3=0:1
libcurand,3,3,3,10.3.2.106:1|10.3.4.107=0:1|10.3.5.147=0:1
libcusolver,3,3,3,11.4.1.48:1|11.4.4.55=0:1|11.4.0.1=0:1
libcusparse,3,3,3,11.7.5.86:1|12.0.2.55=0:1|11.7.4.91=0:1
libnpp,3,3,3,11.8.0.86:1|12.0.2.50=0:1|11.7.4.75=0:1
libnvjpeg,3,3,3,11.9.0.86:1|12.1.1.14=0:1|11.8.0.2=0:1
mpfr,3,3,3,4.0.2:1|4.2.1=h9458935_0:1|4.2.1=h9458935_1:1
myst-parser,3,3,3,*:1|>=3.0.1:1|>=3.0:1
opt-einsum,3,3,3,3.4.0:1|*:1|3.3.0:1
pytest-mock,3,3,3,3.15.1:1|*:1|>=3:1
python-lmdb,3,3,3,1.4.0:1|1.5.1=py310h6a71df1_0:1|1.2.1:1
pytorch-cluster,3,3,3,1.6.1:1|1.6.3=py310_torch_2.2.0_cu121:1|*:1
sqlite,3,3,3,3.41.2:1|3.31.1:1|3.38.5=h4ff8645_0:1
tbb,3,3,3,2021.8.0:1|2021.11.0=h00ab1b0_1:1|2021.12.0=h434a139_3:1
tenacity,3,3,3,8.2.2:1|*:1|8.5.0:1
torchtriton,3,3,3,2.0.0:1|2.2.0=py310:1|2.0.0=py310:1
transformers,3,3,3,4.30.2:1|*:1|4.55.2:1
zstandard,3,3,3,*:1|0.23.0=py310h64cae3c_0:1|0.25.0:1
brotli-bin,4,2,3,1.1.0=hd590300_1:3|1.0.9:1
font-ttf-dejavu-sans-mono,4,2,3,2.37=hab24e00_0:3|2.37:1
font-ttf-inconsolata,4,2,3,3.000=h77eed37_0:3|2.001:1
font-ttf-source-code-pro,4,2,3,2.038=h77eed37_0:3|2.030:1
